"cleabs","nature","usage_1","usage_2","construction_legere","etat_de_l_objet","gcms_detruit","gcms_date_creation","gcms_date_modification","gcms_date_destruction","date_d_apparition","date_de_confirmation","diffusion","source_detaillee","sources","identifiants_sources","methode_d_acquisition_planimetrique","precision_planimetrique","methode_d_acquisition_altimetrique","precision_altimetrique","complement","nombre_de_logements","nombre_d_etages","materiaux_des_murs","materiaux_de_la_toiture","hauteur","altitude_minimale_sol","altitude_minimale_toit","altitude_maximale_toit","altitude_maximale_construction","altitude_maximale_sol","nom","commentaire_centralise","commentaire_collecteur","origine_du_batiment","source_restitution","metadonnees_unification","metadonnees_appariement_ff","appariement_fichiers_fonciers","identifiant_parcellaire","liens_vers_adresse","liens_vers_evolution","gcms_numrec","gcms_territoire","gcms_fingerprint","gcvs_nom_lot","exception_legitime","geometrie","gcvs_empreinte"
BATIMENT0000000214948641,Indifférenciée,Résidentiel,,false,En service,false,2009-01-06 11:06:18.874,2019-04-01 07:16:08.987,,1870-01-01,,true,"",,,BDParcellaire recalée,3.0,Corrélation,1.0,"",2,2,"13","10",6.80,116.70,123.50,126.70,127.30,117.80,"",,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020316;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"{""fusion"": ""false"", ""classe_q"": ""A"", ""id_bati_ff"": ""722200000D0316-0935-0003--A/722200000D0316-0935-0003-B-A"", ""indice_app"": ""0.97"", ""nb_bati_ff"": ""2"", ""nb_bati_bdt"": ""2"", ""id_par_ou_tup"": ""722200000D0316"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""nb_bdt_non_app"": ""1"", ""indice_detaille"": ""AAAA/ACAA""}",A 1.0,"722200000D0316",ADRNIVX_0000000273032565/ADRNIVX_0000000273032566,"",35432147,FXX,"76cc361ded0b122ce3758801398a7d14",,"","MULTIPOLYGON Z(((513696.1 6795835.7 123.5, 513695.9 6795845.5 123.5, 513704.9 6795845.7 123.5, 513705.4 6795838.7 123.5, 513705.5 6795836.4 123.5, 513698.1 6795835.9 123.5, 513696.1 6795835.7 123.5)))","LINESTRING (513695.9 6795835.7, 513705.5 6795845.7)"
BATIMENT0000000214948642,Indifférenciée,Commercial et services,,false,En service,false,2009-01-06 11:06:18.874,2019-04-01 07:16:08.987,,1991-01-01,,true,"",,,BDParcellaire recalée,3.0,Corrélation,1.0,"",0,1,"","",6.20,117.00,123.20,126.70,127.50,117.90,"",,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020320;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"{""fusion"": ""false"", ""classe_q"": ""C"", ""id_bati_ff"": ""722200000D0320-0935-0001--A"", ""indice_app"": ""0.67"", ""nb_bati_ff"": ""2"", ""nb_bati_bdt"": ""4"", ""id_par_ou_tup"": ""722200000D0320"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""nb_bdt_non_app"": ""2"", ""indice_detaille"": ""AABD""}",C 0.7,"722200000D0320",ADRNIVX_0000000273032563,"",35432147,FXX,c44526f5d8e78a61b50233a853366748,,"","MULTIPOLYGON Z(((513675.2 6795831.7 123.2, 513672.4 6795843.2 123.2, 513695.9 6795845.5 123.2, 513696.1 6795835.7 123.2, 513696.1 6795834.7 123.2, 513692.6 6795834.4 123.2, 513692.1 6795836.9 123.2, 513682.6 6795835.4 123.2, 513683 6795832.6 123.2, 513675.2 6795831.7 123.2)))","LINESTRING (513672.4 6795831.7, 513696.1 6795845.5)"
BATIMENT0000000214948644,Indifférenciée,Résidentiel,,false,En service,false,2009-01-06 11:06:18.874,2019-04-01 07:16:08.987,,1832-01-01,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",1,2,"10","12",6.60,114.60,121.20,124.50,124.70,116.40,"",,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020320;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"{""fusion"": ""true"", ""classe_q"": ""C"", ""id_bati_ff"": ""722200000D0320-0935-0001--B"", ""indice_app"": ""0.16"", ""nb_bati_ff"": ""2"", ""nb_bati_bdt"": ""4"", ""id_par_ou_tup"": ""722200000D0320"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""bati_principal"": ""BATIMENT0000000214948644"", ""nb_bdt_non_app"": ""2"", ""indice_detaille"": ""EDBA""}",C 0.2,"722200000D0320",ADRNIVX_0000000273032563,"",35432147,FXX,"804a0eaed3156d1c39b33a509459c01f",,"","MULTIPOLYGON Z(((513691.6 6795817.7 121.2, 513693.1 6795818 121.2, 513694.2 6795818.3 121.2, 513693.2 6795823.1 121.2, 513688.1 6795823 121.2, 513689 6795817.2 121.2, 513691.6 6795817.7 121.2)))","LINESTRING (513688.1 6795817.2, 513694.2 6795823.1)"
BATIMENT0000000214948647,Indifférenciée,Indifférencié,,false,En service,false,2009-01-06 11:06:18.874,2017-09-06 16:49:58.715,,,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",,,,,7.30,114.60,121.90,124.80,125.80,117.40,"",,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020314;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"",,,,"",31381185,FXX,"4a30a23fe04c7cb34f6e0c0b8c8ca670",,"","MULTIPOLYGON Z(((513704.9 6795845.7 121.9, 513705.4 6795838.7 121.9, 513709.5 6795839.3 121.9, 513708.6 6795846.1 121.9, 513704.9 6795845.7 121.9)))","LINESTRING (513704.9 6795838.7, 513709.5 6795846.1)"
BATIMENT0000000214948649,Indifférenciée,Résidentiel,,false,En service,false,2009-01-06 11:06:18.874,2019-04-01 07:16:08.987,,1832-01-01,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",0,2,"10","12",6.60,114.60,121.20,122.90,123.00,115.90,"",,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020564;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"{""fusion"": ""true"", ""classe_q"": ""C"", ""id_bati_ff"": ""722200000D0320-0935-0001--B"", ""indice_app"": ""0.16"", ""nb_bati_ff"": ""2"", ""nb_bati_bdt"": ""4"", ""id_par_ou_tup"": ""722200000D0320"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""bati_principal"": ""BATIMENT0000000214948644"", ""nb_bdt_non_app"": ""2"", ""indice_detaille"": ""EDBA""}",C 0.2,"722200000D0320",ADRNIVX_0000000273032563,"",35432147,FXX,c7a2223e2d8a1509ef6720ec8efeaa0d,,"","MULTIPOLYGON Z(((513693.1 6795818 121.2, 513691.6 6795817.7 121.2, 513691.6 6795816.6 121.2, 513693.1 6795816.6 121.2, 513693.1 6795818 121.2)))","LINESTRING (513691.6 6795816.6, 513693.1 6795818)"
BATIMENT0000000214948650,Indifférenciée,Résidentiel,Commercial et services,false,En service,false,2009-01-06 11:06:18.874,2022-09-06 16:18:56.684,,1700-01-01,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",1,2,"10","10",7.10,114.60,121.70,126.60,126.90,117.20,,,,Cadastre,,TA=1BDU-NBDP;TX=1;TY=2;Id Parcelle=0722200000D020321;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038669;,"{""fusion"": ""false"", ""classe_q"": ""A"", ""id_bati_ff"": ""722200000D0321-0510-0010--A"", ""indice_app"": ""1.0"", ""nb_bati_ff"": ""1"", ""nb_bati_bdt"": ""1"", ""id_par_ou_tup"": ""722200000D0321"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""nb_bdt_non_app"": ""0""}",A 1.0,"722200000D0321",ADRNIVX_0000000273032556,,42758537,FXX,"780886b1d4ce1bac2a6e39ea57214858",,,"MULTIPOLYGON Z(((513675.2 6795831.7 121.7, 513676.4 6795826.4 121.7, 513677.2 6795822.1 121.7, 513682.9 6795822.9 121.7, 513681.8 6795827.2 121.7, 513683.7 6795827.5 121.7, 513683 6795832.6 121.7, 513675.2 6795831.7 121.7)))","LINESTRING (513675.2 6795822.1, 513683.7 6795832.6)"
BATIMENT0000000214948761,Eglise,Religieux,,false,En service,false,2009-01-06 11:06:18.874,,,,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",,,,,8.40,114.70,123.10,,,,"",,,Cadastre,,TA=1BDU-1BDP;TX=1;TY=2;Id Parcelle=0722200000D020323;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038702;,"",,,,"",2660504,FXX,"0",,"","MULTIPOLYGON Z(((513660.7 6795788 123.1, 513661.9 6795789.2 123.1, 513665.3 6795790 123.1, 513666.1 6795788.9 123.1, 513666.9 6795789.6 123.1, 513666.8 6795790.4 123.1, 513671.3 6795791.7 123.1, 513671 6795789.9 123.1, 513672.1 6795789.8 123.1, 513673.6 6795791.3 123.1, 513679.3 6795793.4 123.1, 513680.1 6795792.2 123.1, 513681.2 6795792.9 123.1, 513680.4 6795793.7 123.1, 513683.4 6795794.7 123.1, 513683.6 6795793.9 123.1, 513684.9 6795794.3 123.1, 513684.7 6795794.9 123.1, 513690.4 6795795.2 123.1, 513690.4 6795796.1 123.1, 513689.2 6795796.7 123.1, 513693.1 6795798.1 123.1, 513691.3 6795805.4 123.1, 513692.3 6795806.7 123.1, 513689.1 6795811.2 123.1, 513683.3 6795810.5 123.1, 513681.6 6795812.1 123.1, 513680.2 6795811.7 123.1, 513679 6795814.5 123.1, 513679.9 6795816.1 123.1, 513679.3 6795816.5 123.1, 513678.2 6795815.2 123.1, 513673.8 6795814.3 123.1, 513673.4 6795815.2 123.1, 513672.2 6795815 123.1, 513672.4 6795813.9 123.1, 513667.6 6795813 123.1, 513667.4 6795814 123.1, 513666.3 6795813.8 123.1, 513666.6 6795812.5 123.1, 513661.9 6795811.7 123.1, 513661.7 6795812.6 123.1, 513660.9 6795812.4 123.1, 513661.1 6795811.4 123.1, 513654.5 6795810.1 123.1, 513654.7 6795808.9 123.1, 513655.5 6795809.1 123.1, 513657 6795804.4 123.1, 513656.1 6795804.1 123.1, 513656.4 6795802.9 123.1, 513657.3 6795803.1 123.1, 513659.3 6795795.7 123.1, 513658.3 6795795.5 123.1, 513658.6 6795794.1 123.1, 513659.2 6795794.3 123.1, 513660.4 6795789.9 123.1, 513659.7 6795789.4 123.1, 513660.7 6795788 123.1)))","LINESTRING (513654.5 6795788, 513693.1 6795816.5)"
BATIMENT0000000214948827,Indifférenciée,Indifférencié,,false,En service,false,2009-01-06 11:06:18.874,2022-10-14 15:29:58.744,,,,true,"",,,BDParcellaire recalée,3.0,Interpolation bâti BDTopo,2.5,"",,,,,3.80,114.30,118.10,118.20,,115.00,"",,,Cadastre,,TA=1BDU-NBDP;TX=0;TY=3;Id Parcelle=0722200000D020303;Type BDP=Bâtiment en dur;Anc. SG2D=Photogrammétrie;Anc. CLEABS=BATIMENT0000000112038739;,"",,,,"",43121095,FXX,"3be9c71a9522cf34f822770687c37158",,"","MULTIPOLYGON Z(((513704.1 6795798.9 118.1, 513706.5 6795799.9 118.1, 513703.8 6795808.3 118.1, 513700.9 6795807.1 118.1, 513703.6 6795798.7 118.1, 513704.1 6795798.9 118.1)))","LINESTRING (513700.9 6795798.7, 513706.5 6795808.3)"
BATIMENT0000000215025360,Indifférenciée,Indifférencié,,false,En service,true,2009-01-08 16:30:17.464,2017-12-13 14:38:36.757,2018-07-10 16:03:44.713,,2008-07-01,true,"",,,Photogrammétrie,2.5,Photogrammétrie,1.5,"",,,,,3.80,602.30,,,,,Restit PVA 2008,,,Imagerie aérienne,,"","",,,,"",33210077,FXX,"8d7e5e190ad133d457bb85179bb58e86",,"","MULTIPOLYGON Z(((469028.2 6222146.5 606.1, 469031.6 6222146 604.2, 469030.1 6222137.2 604.8, 469026.8 6222137.6 606.1, 469028.2 6222146.5 606.1)))","LINESTRING (469026.8 6222137.2, 469031.6 6222146.5)"
BATIMENT0000000216453349,Indifférenciée,Résidentiel,,false,En service,true,2009-01-27 15:42:43.520,2023-11-07 13:43:29.587,2025-10-10 11:46:40.576,1986-01-01,,true,"",,,BDParcellaire recalée,3.0,Corrélation,1.0,"",2,2,"50","10",5.60,303.90,309.50,311.00,,304.00,,,,Cadastre,,TA=1BDU-NBDP;TX=-5;TY=1;Id Parcelle=073241000ZD010030;Type BDP=Bâtiment en dur;Anc. SG2D=BDTopo;Anc. CLEABS=BATIMENT0000000012655469;,"{""fusion"": ""false"", ""classe_q"": ""A"", ""id_bati_ff"": ""73241000ZD0030-0085-0580--A"", ""indice_app"": ""1.0"", ""nb_bati_ff"": ""1"", ""nb_bati_bdt"": ""1"", ""id_par_ou_tup"": ""73241000ZD0030"", ""nb_ff_non_app"": ""0"", ""type_parcelle"": ""SIMPLE"", ""nb_bdt_non_app"": ""0""}",A 1.0,"73241000ZD0030",,,49768041,FXX,"059228ef33121fea260e08a160fbc9c4",,,"MULTIPOLYGON Z(((956667.9 6505685.8 309.5, 956683.2 6505705.6 309.5, 956687.3 6505702.4 309.5, 956685.3 6505699.7 309.5, 956680.3 6505693.4 309.5, 956671.8 6505682.4 309.5, 956667.9 6505685.8 309.5)))","LINESTRING (956667.9 6505682.4, 956687.3 6505705.6)"
