"cleabs","identifiant_rnb","liens_vers_batiment","informations_rnb","geometrie_enveloppe","nom","commentaire_centralise","commentaire_collecteur","gcms_detruit","gcms_date_creation","gcms_date_modification","gcms_date_destruction","diffusion","gcms_numrec","gcms_territoire","gcms_fingerprint","exception_legitime","gcvs_empreinte","traitement","gcvs_nom_lot","geometrie",status,event_type,parent_buildings
BAT_RNB_0000002459964325,N7A25ZXFP4VA,BATIMENT0000000224734139,"{""ext_ids"": [{""id"": ""bdnb-bc-EET5-NR83-QWQE"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T09:42:00.042615+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T14:02:30.886864+01:00"", ""updated_at"": ""2023-12-13T14:02:30.886878+01:00"", ""identifiants_ban"": [""70576_0015_00004""]}","MULTIPOLYGON (((923500.6 6764298.800000001, 923501.1001588773 6764299.428771159, 923504.4500757629 6764302.911884549, 923511.7492898089 6764296.904566796, 923508.3130770024 6764292.917144662, 923500.6 6764298.800000001)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,"8098b8523c1880af7198dc1891d954f7",,"LINESTRING (923506.2 6764297.9, 923506.2 6764297.9)",Batiments RNB dissous semblables,RNB_dep_70,POINT (923506.2 6764297.9),,,
BAT_RNB_0000002440294481,VAJQ5P9XFKJH,BATIMENT0000000324491258,"{""ext_ids"": [{""id"": ""bdnb-bc-ZK74-K94E-GF6K"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:29:26.600414+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T02:06:45.479611+01:00"", ""updated_at"": ""2023-12-11T02:06:45.479632+01:00"", ""identifiants_ban"": [""36056_0100_00010""]}","MULTIPOLYGON (((604094 6605610.2, 604086.3 6605604.000000001, 604085.2342271507 6605605.311720428, 604092.5823300732 6605611.230376153, 604099.0597370589 6605615.192873729, 604099.8891501237 6605613.788700857, 604094 6605610.2)))",,,,false,2024-04-26 15:53:23.836,2024-06-13 13:45:40.782,,true,47291704,FXX,"393c103a992b18de75648d8fd07dc57f",,"LINESTRING (604089.6 6605607.8, 604089.6 6605607.8)",Batiments RNB dissous semblables,RNB_dep_36,POINT (604089.6 6605607.8),,,
BAT_RNB_0000002453035403,QAMXPQP8DAK6,BATIMENT0000000315465006,"{""ext_ids"": [{""id"": ""bdnb-bc-2XQM-1T3P-ZQBH"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:31.095056+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T14:44:55.726499+01:00"", ""updated_at"": ""2023-12-12T14:44:55.726511+01:00"", ""identifiants_ban"": [""83008_0128_00171""]}","MULTIPOLYGON (((999719.2 6277813.899999999, 999717.9999999998 6277813.700000001, 999718 6277821.200000001, 999721.8054722284 6277821.2, 999722.1714916449 6277811.249929807, 999719.9066730102 6277811.249976212, 999719.2 6277813.899999999)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,b20fdbcd32f691ee848393b0c5f8a2fb,,"LINESTRING (999720 6277817.5, 999720 6277817.5)",Batiments RNB dissous semblables,RNB_dep_83,POINT (999720 6277817.5),,,
BAT_RNB_0000002453035414,QAT7EAGQE13W,BATIMENT0000000326444597/BATIMENT0000000326444594,"{""ext_ids"": [{""id"": ""bdnb-bc-82JB-3KXH-HWBK"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:38.320720+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T09:29:35.747067+01:00"", ""updated_at"": ""2023-12-12T09:29:35.747094+01:00"", ""identifiants_ban"": [""83068_0095_00056""]}","MULTIPOLYGON (((990978.6 6248262, 990975.8999999999 6248261.4, 990972.3999999999 6248260.700000002, 990970.2 6248260.3, 990969.3150132052 6248264.134942778, 990977.2913251402 6248265.615596881, 990977.8794525318 6248265.782874208, 990978.6 6248262)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"000c68344dfa9af666ef9e2970389299",,"LINESTRING (990974 6248263.1, 990974 6248263.1)",Batiments RNB dissous semblables/Batiments RNB dissous semblables,RNB_dep_83,POINT (990974 6248263.1),,,
BAT_RNB_0000002453078031,JEKN3RFR32QA,BATIMENT0000000327420893,"{""ext_ids"": [{""id"": ""bdnb-bc-UEFH-THHN-CPA2"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:16:07.182685+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T16:22:13.460688+01:00"", ""updated_at"": ""2023-12-11T16:22:13.460714+01:00"", ""identifiants_ban"": [""83136_ntm1l3_01754"", ""83136_ntm1l3_01762""]}","MULTIPOLYGON (((966939 6269534.6, 966935.3 6269535.900000001, 966930.4 6269537.6, 966931.7 6269540.599999999, 966932.1636092516 6269541.604486714, 966935.841566792 6269540.3837265745, 966938.5963636166 6269539.408654507, 966940.6102903388 6269538.714106954, 966939.0850306468 6269534.571656451, 966939 6269534.6)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,"6e2c73b55d06442ccc2581f31c779cc7",,"LINESTRING (966935.5 6269538.2, 966935.5 6269538.2)",Batiments RNB dissous semblables BDTOPO,RNB_dep_83,POINT (966935.5 6269538.2),,,
BAT_RNB_0000002458719802,"21D4FF2QVQ2C",BATIMENT0000000214948636,"{""ext_ids"": [{""id"": ""bdnb-bc-GL5N-JA5U-5Y9V"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T09:59:25.542858+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T14:27:04.748016+01:00"", ""updated_at"": ""2023-12-11T14:27:04.748036+01:00"", ""identifiants_ban"": [""72220_0935_00001""]}","MULTIPOLYGON (((513691.24674818857 6795825.702321181, 513686.17329206783 6795824.773912115, 513686.1132100402 6795825.220605736, 513685.6082303857 6795825.225542171, 513682.75822190446 6795825.305040503, 513682.7211132458 6795825.539731641, 513682.4552464179 6795827.303459962, 513683.70000000007 6795827.500000002, 513683.79999999993 6795827.3, 513686.6 6795827.199999999, 513687.1 6795827.200000001, 513687.2 6795826.799999998, 513692.2 6795827.699999999, 513693.2 6795823.100000001, 513691.7889400396 6795823.072332157, 513691.24674818857 6795825.702321181)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,"0d44319d68328549ed5d28dc8f29d2c0",,"LINESTRING (513686.5 6795825.6, 513686.5 6795825.6)",Batiments RNB dissous semblables BDTOPO,RNB_dep_72,POINT (513686.5 6795825.6),,,
BAT_RNB_0000002453389238,NNFDDTXARGZG,BATIMENT0000000327198623,"{""ext_ids"": [{""id"": ""bdnb-bc-4PV7-B9GM-62W4"", ""source"": ""bdnb"", ""created_at"": ""2023-12-11T14:15:33.587528+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T16:29:59.001475+01:00"", ""updated_at"": ""2023-12-11T16:29:59.001497+01:00"", ""identifiants_ban"": [""83049_0190_00007""]}","MULTIPOLYGON (((949475.3 6242356.900000001, 949474.6 6242359.499999999, 949474.5 6242360.299999999, 949474.5 6242361.100000001, 949474.7 6242361.800000001, 949474.8 6242362.1000000015, 949475.6129793839 6242362.36606598, 949475.8126727116 6242362.031852391, 949477.1783391389 6242362.878365536, 949480.3 6242363.900000001, 949482 6242361.4, 949482.3479264544 6242360.908809711, 949476.9573361494 6242357.314334038, 949475.3 6242356.900000001)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:54.040,,true,47291703,FXX,fbc24d116e8631a3324a39439e8ac298,,"LINESTRING (949477.9 6242360, 949477.9 6242360)",Batiments RNB dissous semblables BDTOPO,RNB_dep_83,POINT (949477.9 6242360),,,
BAT_RNB_0000002457007672,PW9AAE2DBGGZ,BATIMENT0000000244158896,"{""ext_ids"": [{""id"": ""bdnb-bc-C8N5-RZJE-TK2X"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T10:32:52.356802+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T17:33:52.089148+01:00"", ""updated_at"": ""2023-12-13T17:33:52.089163+01:00"", ""identifiants_ban"": [""76259_1000_00014""]}","MULTIPOLYGON (((511103.1999999999 6965041.299999998, 511101.30000000005 6965041.7, 511102.1 6965042.300000001, 511103.8 6965043.6, 511104.80000000005 6965044.300000003, 511106.6 6965045.599999999, 511106.94879275444 6965045.861594565, 511109.317657529 6965042.647969218, 511104.74810943124 6965039.114433746, 511103.1999999999 6965041.299999998)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,d616314230a23380e09fac6e6edc24c9,,"LINESTRING (511105.7 6965042.5, 511105.7 6965042.5)",Batiments RNB dissous semblables BDTOPO,RNB_dep_76,POINT (511105.7 6965042.5),,,
BAT_RNB_0000002465754605,P73RYHNEPB5D,BATIMENT0000000056785358,"{""ext_ids"": [{""id"": ""bdnb-bc-J6SU-U9J8-X21M"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:23:32.470140+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2024-02-06T16:04:51.941169+01:00"", ""updated_at"": ""2024-02-06T16:04:51.941195+01:00"", ""identifiants_ban"": [""59653_fk3h40_00017"", ""59653_fk3h40_00015""]}","MULTIPOLYGON (((696270.7365973667 7052751.244876898, 696269.7526011494 7052754.688398546, 696268.3296738862 7052759.625236021, 696268.0818403342 7052760.394196619, 696267.3616925047 7052762.299224249, 696277 7052767.700000001, 696279.1 7052764.000000001, 696270.8 7052760.4, 696272.7 7052757.599999999, 696270.4 7052756.700000001, 696271.947842911 7052751.798497448, 696270.7365973667 7052751.244876898)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,"2d336bb3fc8488c3733248f5ead605fe",,"LINESTRING (696270.3 7052758.6, 696270.3 7052758.6)",Batiments RNB dissous semblables BDTOPO,RNB_dep_59,POINT (696270.3 7052758.6),,,
BAT_RNB_0000002466424997,B9XW42TVSMVZ,BATIMENT0000000288869571,"{""ext_ids"": [{""id"": ""bdnb-bc-W2G9-UP2M-DW9X"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:24:03.633367+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2024-02-07T09:54:28.66855+01:00"", ""updated_at"": ""2024-02-07T09:54:28.668575+01:00"", ""identifiants_ban"": [""59463_0140_00005""]}","MULTIPOLYGON (((652866.3 7092773.4, 652863.9 7092777.799999999, 652862.2332783667 7092780.948251975, 652866.6987695398 7092783.168156207, 652870.8979436478 7092776.041371882, 652866.3 7092773.4)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:53.563,,true,47291702,FXX,"9e1bb5e3831ccba9a7baae07750b2068",,"LINESTRING (652866 7092779.3, 652866 7092779.3)",Batiments RNB dissous semblables BDTOPO,RNB_dep_59,POINT (652866 7092779.3),,,
BAT_RNB_0000002456310448,"1GCWV23CM59Q",BATIMENT0000000337087798,"{""ext_ids"": [{""id"": ""bdnb-bc-PWVY-7Y49-N7F8"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T10:43:19.568089+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T14:56:22.12928+01:00"", ""updated_at"": ""2023-12-11T14:56:22.1293+01:00"", ""identifiants_ban"": [""77152_0330_00447""]}","MULTIPOLYGON (((669885.2 6823785.6, 669888.2 6823788.799999998, 669894.2000000001 6823794.2, 669896.6 6823791.800000001, 669890.6 6823786.6, 669898.5 6823781.4, 669896.3 6823778.200000002, 669892.2 6823781.000000001, 669885.2 6823785.6)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,e05ef5d35632361d7722bba49b01a398,,"LINESTRING (669888.5 6823786.1, 669888.5 6823786.1)",Batiments RNB dissous semblables BDTOPO,RNB_dep_77,POINT (669888.5 6823786.1),,,
BAT_RNB_0000002455357879,K91Y6STHN4TQ,BATIMENT0000000322049512,"{""ext_ids"": [{""id"": ""bdnb-bc-CYAN-GH2S-4X6J"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T10:52:32.978377+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T23:16:06.677933+01:00"", ""updated_at"": ""2023-12-12T23:16:06.677954+01:00"", ""identifiants_ban"": [""78238_0080_00397""]}","MULTIPOLYGON (((617664.9416053692 6874304.479810631, 617666.5930524692 6874307.314573404, 617667.2532992966 6874306.88254533, 617668.5933309987 6874309.127452356, 617670 6874308.299999999, 617674.7 6874305.899999999, 617673 6874302.899999999, 617671.9713987882 6874300.375251572, 617664.9416053692 6874304.479810631)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 13:44:53.563,,true,47291702,FXX,"98f1cb2d98f9cd778367deb1d44f8f6c",,"LINESTRING (617669.8 6874305.2, 617669.8 6874305.2)",Batiments RNB dissous semblables BDTOPO,RNB_dep_78,POINT (617669.8 6874305.2),,,
BAT_RNB_0000002474458113,"7K6C2DJAK8HY",BATIMENT0000000258428697,"{""ext_ids"": [{""id"": ""bdnb-bc-Q8BW-RJN8-HNEP"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T14:47:16.293888+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-09T08:13:59.274668+01:00"", ""updated_at"": ""2023-12-09T08:13:59.274681+01:00""}","MULTIPOLYGON (((909973.8 6258468.9, 909973.8 6258473.399999999, 909979.1093708375 6258473.458344733, 909979.3269553545 6258470.056684891, 909974.8313537346 6258469.886879856, 909974.846320811 6258468.9465031475, 909973.8 6258468.9)))",,,,false,2024-05-02 17:07:14.046,2024-06-13 18:33:23.070,,true,47303331,FXX,"3c3e07cbdba9aa6c373649c608c359e3",,"LINESTRING (909976.5 6258471.7, 909976.5 6258471.7)",Batiments RNB dissous semblables BDTOPO,RNB_dep_13,POINT (909976.5 6258471.7),,,
BAT_RNB_0000002474459710,ZZR4XM1R3NHA,BATIMENT0000000257422856,"{""ext_ids"": [{""id"": ""bdnb-bc-GFDV-PPPZ-Y4QY"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T14:47:02.361584+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-08T20:49:23.851093+01:00"", ""updated_at"": ""2023-12-08T20:49:23.851106+01:00""}","MULTIPOLYGON (((867423.9084739698 6275941.472473439, 867422.5420642494 6275943.904762319, 867425.1000000001 6275945.3, 867426.1 6275945.8, 867427.8999999999 6275942.800000001, 867427.1 6275942.200000002, 867427.4257779755 6275941.602740378, 867424.6685656254 6275940.236070835, 867423.9084739698 6275941.472473439)))",,,,false,2024-05-02 17:07:14.046,2024-06-13 18:33:23.070,,true,47303331,FXX,"5b35b46198c7d7cb94983538f326bf8f",,"LINESTRING (867425.2 6275943.4, 867425.2 6275943.4)",Batiments RNB dissous semblables BDTOPO,RNB_dep_13,POINT (867425.2 6275943.4),,,
BAT_RNB_0000002440013621,W5KPBCK6YAW6,BATIMENT0000000207272732,"{""ext_ids"": [{""id"": ""bdnb-bc-S4KG-EDPH-Q4L7"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:12:55.461729+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-12T21:08:24.55215+01:00"", ""updated_at"": ""2023-12-12T21:08:24.552183+01:00""}","MULTIPOLYGON (((791920.1 6288059.400000001, 791922.3 6288053.8999999985, 791920.4538711357 6288053.21984726, 791918.3062108436 6288058.67278818, 791920.1 6288059.400000001)))",,,,false,2024-04-26 15:53:17.531,2024-06-13 18:33:23.070,,true,47303331,FXX,cdf99e31b41e7309c0b99e0214b21900,,"LINESTRING (791920.3 6288056.3, 791920.3 6288056.3)",Batiments inclus,RNB_dep_34,POINT (791920.3 6288056.3),,,
BAT_RNB_0000002453490998,SWVNSDRYDVGG,BATIMENT0000000294746902,"{""ext_ids"": [{""id"": ""bdnb-bc-CDUU-2PT6-2SJX"", ""source"": ""bdnb"", ""created_at"": ""2023-12-10T11:25:07.789340+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T13:23:05.021947+01:00"", ""updated_at"": ""2023-12-13T13:23:05.021966+01:00""}","MULTIPOLYGON (((616827.9474944879 6339640.996703952, 616833.5478018522 6339641.622968283, 616833.6708709592 6339641.606614135, 616841.1 6339635.3999999985, 616843.6000000001 6339626.000000002, 616835.3815071767 6339623.822450621, 616833.5762782396 6339627.989071386, 616832.6151053596 6339630.211623308, 616837.1 6339632.1, 616832.3 6339639.200000001, 616829.2827059777 6339637.913940253, 616827.9474944879 6339640.996703952)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 18:33:23.070,,true,47303331,FXX,"22dcdc09bd43b2e6abfb131cc5c87ed6",,"LINESTRING (616838.8 6339633.8, 616838.8 6339633.8)",Batiments inclus,RNB_dep_82,POINT (616838.8 6339633.8),,,
BAT_RNB_0000002459027248,CASK7MYW329E,BATIMENT0000000291628663,"{""ext_ids"": [{""id"": ""bdnb-bc-PUDV-3GZ4-5XAP"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:20:44.222357+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T15:21:26.493577+01:00"", ""updated_at"": ""2023-12-13T15:21:26.493604+01:00""}","MULTIPOLYGON (((572309.5306239281 6379535.106222914, 572311.5 6379538, 572312.7 6379537.199999999, 572313.4 6379536.600000001, 572311.0751259985 6379533.500167999, 572309.5306239281 6379535.106222914)))",,,,false,2024-04-26 17:03:35.008,2024-06-13 18:33:23.070,,true,47303331,FXX,"291cabef36dee0e5aac391d137a50439",,"LINESTRING (572311.4 6379535.9, 572311.4 6379535.9)",Batiments inclus,RNB_dep_46,POINT (572311.4 6379535.9),,,
BAT_RNB_0000002471812759,KQTGVHQ4437K,BATIMENT0000000270364810,"{""ext_ids"": [{""id"": ""bdnb-bc-PLD9-W1AC-SCRK"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:35:21.075309+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T06:38:15.096735+01:00"", ""updated_at"": ""2023-12-13T06:38:15.096765+01:00""}","MULTIPOLYGON (((778971.7 6373992.000000001, 778971.7 6373993.099999999, 778970.7000000001 6373993.199999999, 778970.6999999998 6373998.000000001, 778972.3 6373998.100000001, 778973.003371184 6373998.089806212, 778973.0510294569 6373993.727677786, 778974.0371943468 6373993.762295046, 778974.083538678 6373992.607488012, 778979.3645441207 6373992.816860198, 778979.4 6373991.700000001, 778971.7 6373992.000000001)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 18:33:23.070,,true,47303331,FXX,"4e63476973d523691bf46b6e8540c9a4",,"LINESTRING (778971.9 6373995.9, 778971.9 6373995.9)",Batiments inclus,RNB_dep_48,POINT (778971.9 6373995.9),,,
BAT_RNB_0000002474682547,"7K7SZXEBQ287",BATIMENT0000000331857056,"{""ext_ids"": [{""id"": ""bdnb-bc-REV8-QY9Z-LAM7"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T15:43:59.665046+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-07T16:44:12.120046+01:00"", ""updated_at"": ""2023-12-07T16:44:12.120058+01:00""}","MULTIPOLYGON (((1176579.4000000001 6108595.900000002, 1176576.1 6108596.100000001, 1176576.2848557252 6108597.948557255, 1176579.6561942985 6108597.65821775, 1176580.3382955277 6108597.562779499, 1176580.2868696328 6108596.66616971, 1176580.2073852825 6108595.245262016, 1176579.4 6108595.300000002, 1176579.4000000001 6108595.900000002)))",,,,false,2024-05-13 17:41:49.542,2024-06-13 18:33:23.070,,true,47303331,FXX,a3fade63076e1b76f173fb96d08efe54,,"LINESTRING (1176578.2 6108597, 1176578.2 6108597)",Batiments inclus,RNB_dep_2A,POINT (1176578.2 6108597),,,
BAT_RNB_0000002430865535,BNM249GRB2PQ,BATIMENT0000002287902961,"{""ext_ids"": [{""id"": ""bdnb-bc-7MAC-GMMB-3U57"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T14:06:30.402005+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-09T07:01:42.021567+01:00"", ""updated_at"": ""2023-12-09T07:01:42.021581+01:00""}","MULTIPOLYGON (((812575.345283379 6971869.051152951, 812577.6 6971868.500000001, 812576.1 6971857.400000001, 812575.345283379 6971857.504098845, 812575.345283379 6971869.051152951)))",,,,false,2024-04-26 15:43:33.064,2024-06-13 18:33:23.070,,true,47303331,FXX,cf3ec3f429c331deaea89f30308d70b2,,"LINESTRING (812576.1 6971863, 812576.1 6971863)",Batiments inclus,RNB_dep_08,POINT (812576.1 6971863),,,
BAT_RNB_0000002432075132,NTZGKW9JMQT8,BATIMENT0000000339891778,"{""ext_ids"": [{""id"": ""bdnb-bc-NC8D-B4VX-429P"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T14:37:04.862256+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-08T23:45:22.232969+01:00"", ""updated_at"": ""2023-12-08T23:45:22.23299+01:00""}","MULTIPOLYGON (((705886.8708488633 6311676.675944406, 705885.7513563121 6311677.014768168, 705886.9 6311680.7, 705917.5 6311671.4, 705916.4 6311668.500000001, 705916.1740394494 6311667.822118349, 705886.8708488633 6311676.675944406)))",,,,false,2024-04-26 15:44:29.378,2024-06-13 18:33:23.070,,true,47303331,FXX,"28bd81551a7014baad96a002cb337906",,"LINESTRING (705902.2 6311674, 705902.2 6311674)",Batiments inclus,RNB_dep_12,POINT (705902.2 6311674),,,
BAT_RNB_0000002438867201,DZBANQXHAVMC,BATIMENT0000002322889056,"{""ext_ids"": [{""id"": ""bdnb-bc-K95D-F491-66U7"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:03:24.478710+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-11T14:28:00.036843+01:00"", ""updated_at"": ""2023-12-11T14:28:00.036862+01:00""}","MULTIPOLYGON (((428385.7 6439748.5, 428378.7000000002 6439747.200000001, 428375.99999999994 6439746.699999999, 428375.88704987423 6439747.287340656, 428377.8116330758 6439747.981312142, 428385.48785236315 6439750.550760491, 428385.7 6439748.5)))",,,,false,2024-04-26 15:48:16.459,2024-06-13 18:33:23.070,,true,47303331,FXX,b83b399d66d8cb32f89df16724bbd7e2,,"LINESTRING (428381.4 6439748.3, 428381.4 6439748.3)",Batiments inclus,RNB_dep_33,POINT (428381.4 6439748.3),,,
BAT_RNB_0000002474799280,"822Y5QJSAWZ9",BATIMENT0000000351777198,"{""ext_ids"": [{""id"": ""bdnb-bc-H9XW-UTWX-WRFN"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T15:50:39.713218+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-07T16:50:54.071338+01:00"", ""updated_at"": ""2023-12-07T16:50:54.071357+01:00""}","MULTIPOLYGON (((1229090.9314303133 6157719.581681287, 1229092.4 6157720.1, 1229094.9119899853 6157717.511889107, 1229091.8024862395 6157716.701676228, 1229090.9314303133 6157719.581681287)))",,,,false,2024-05-13 17:42:01.328,2024-06-13 18:33:23.070,,true,47303331,FXX,"39bef49ba1a1ab1a90741290eaba46c5",,"LINESTRING (1229092.6 6157718.5, 1229092.6 6157718.5)",Batiments inclus,RNB_dep_2B,POINT (1229092.6 6157718.5),,,
BAT_RNB_0000002431993654,"3FPVSMFZ1KBJ",BATIMENT0000000253533197,"{""ext_ids"": [{""id"": ""bdnb-bc-7KWA-9ZP9-N2ZM"", ""source"": ""bdnb"", ""created_at"": ""2023-12-07T14:36:53.915139+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-08T20:42:51.480168+01:00"", ""updated_at"": ""2023-12-08T20:42:51.480188+01:00""}","MULTIPOLYGON (((673957.9 6384047.500000002, 673958 6384050.6, 673960.4218163405 6384050.9363633795, 673960.4470558037 6384049.527495873, 673960.4047921834 6384047.808282115, 673957.9 6384047.500000002)))",,,,false,2024-04-26 15:44:29.378,2024-06-13 18:33:23.070,,true,47303331,FXX,e1ab029f5270081a7006f98bbd0c1662,,"LINESTRING (673959.2 6384048.7, 673959.2 6384048.7)",Batiments inclus,RNB_dep_12,POINT (673959.2 6384048.7),,,
